Emoji,Unicode,Description
😀,U+1F600,:grinning_face:
😃,U+1F603,:grinning_face_with_big_eyes:
😄,U+1F604,:grinning_face_with_smiling_eyes:
😁,U+1F601,:beaming_face_with_smiling_eyes:
😆,U+1F606,:grinning_squinting_face:
😅,U+1F605,:grinning_face_with_sweat:
😂,U+1F602,:face_with_tears_of_joy:
🤣,U+1F923,:rolling_on_the_floor_laughing:
🥲,U+1F972,:smiling_face_with_tear:
🥹,U+1F979,:face_holding_back_tears:
☺️,U+263A U+FE0F,:smiling_face:
😊,U+1F60A,:smiling_face_with_smiling_eyes:
😇,U+1F607,:smiling_face_with_halo:
🙂,U+1F642,:slightly_smiling_face:
🙃,U+1F643,:upside-down_face:
😉,U+1F609,:winking_face:
😌,U+1F60C,:relieved_face:
😍,U+1F60D,:smiling_face_with_heart-eyes:
🥰,U+1F970,:smiling_face_with_hearts:
😘,U+1F618,:face_blowing_a_kiss:
😗,U+1F617,:kissing_face:
😙,U+1F619,:kissing_face_with_smiling_eyes:
😚,U+1F61A,:kissing_face_with_closed_eyes:
😋,U+1F60B,:face_savoring_food:
😛,U+1F61B,:face_with_tongue:
😝,U+1F61D,:squinting_face_with_tongue:
😜,U+1F61C,:winking_face_with_tongue:
🤪,U+1F92A,:zany_face:
🤨,U+1F928,:face_with_raised_eyebrow:
🧐,U+1F9D0,:face_with_monocle:
🤓,U+1F913,:nerd_face:
😎,U+1F60E,:smiling_face_with_sunglasses:
🥸,U+1F978,:disguised_face:
🤩,U+1F929,:star-struck:
🥳,U+1F973,:partying_face:
😏,U+1F60F,:smirking_face:
😒,U+1F612,:unamused_face:
😞,U+1F61E,:disappointed_face:
😔,U+1F614,:pensive_face:
😟,U+1F61F,:worried_face:
😕,U+1F615,:confused_face:
🙁,U+1F641,:slightly_frowning_face:
☹️,U+2639 U+FE0F,:frowning_face:
😣,U+1F623,:persevering_face:
😖,U+1F616,:confounded_face:
😫,U+1F62B,:tired_face:
😩,U+1F629,:weary_face:
🥺,U+1F97A,:pleading_face:
😢,U+1F622,:crying_face:
😭,U+1F62D,:loudly_crying_face:
😮‍💨,U+1F62E U+200D U+1F4A8,:face_exhaling:
😤,U+1F624,:face_with_steam_from_nose:
😠,U+1F620,:angry_face:
😡,U+1F621,:enraged_face:
🤬,U+1F92C,:face_with_symbols_on_mouth:
🤯,U+1F92F,:exploding_head:
😳,U+1F633,:flushed_face:
🥵,U+1F975,:hot_face:
🥶,U+1F976,:cold_face:
😱,U+1F631,:face_screaming_in_fear:
😨,U+1F628,:fearful_face:
😰,U+1F630,:anxious_face_with_sweat:
😥,U+1F625,:sad_but_relieved_face:
😓,U+1F613,:downcast_face_with_sweat:
🫣,U+1FAE3,:face_with_peeking_eye:
🤗,U+1F917,:smiling_face_with_open_hands:
🫡,U+1FAE1,:saluting_face:
🤔,U+1F914,:thinking_face:
🫢,U+1FAE2,:face_with_open_eyes_and_hand_over_mouth:
🤭,U+1F92D,:face_with_hand_over_mouth:
🤫,U+1F92B,:shushing_face:
🤥,U+1F925,:lying_face:
😶,U+1F636,:face_without_mouth:
😶‍🌫️,U+1F636 U+200D U+1F32B U+FE0F,:face_in_clouds:
😐,U+1F610,:neutral_face:
😑,U+1F611,:expressionless_face:
😬,U+1F62C,:grimacing_face:
🫨,U+1FAE8,:shaking_face:
🫠,U+1FAE0,:melting_face:
🙄,U+1F644,:face_with_rolling_eyes:
😯,U+1F62F,:hushed_face:
😦,U+1F626,:frowning_face_with_open_mouth:
😧,U+1F627,:anguished_face:
😮,U+1F62E,:face_with_open_mouth:
😲,U+1F632,:astonished_face:
🥱,U+1F971,:yawning_face:
😴,U+1F634,:sleeping_face:
🤤,U+1F924,:drooling_face:
😪,U+1F62A,:sleepy_face:
😵,U+1F635,:face_with_crossed-out_eyes:
😵‍💫,U+1F635 U+200D U+1F4AB,:face_with_spiral_eyes:
